dev_stage,treatment,vial,temp,alive,dead
morula,warm,1,26.3,52,48
morula,warm,10,34.5,96,4
morula,warm,12,24.1,89,11
morula,warm,8,20.7,82,18
morula,warm,2,28.9,80,20
morula,warm,11,31.6,0,100
morula,warm,7,30.3,23,77
morula,warm,5,36.3,0,100
morula,warm,4,33.2,0,100
morula,warm,6,27.5,85,15
morula,warm,3,16.6,22,78
morula,ambient,31,36.3,26,74
morula,ambient,33,20.7,16,84
morula,ambient,28,24.1,43,57
morula,ambient,26,28.9,20,80
morula,ambient,27,16.7,77,23
morula,ambient,37,27.5,70,30
morula,ambient,30,25.2,80,20
morula,ambient,29,30.3,44,56
morula,ambient,32,26.3,61,39
morula,ambient,36,31.6,0,100
morula,ambient,35,34.5,0,100
morula,ambient,34,33.2,3,97
